,n_nodes,batch_size,activations,n_epochs,n_layers,dropout_rate,Gauss_noise,accuracy,precision,recall,f1
accuracy,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",250,1,0.3,0.5,0.808125880695162,0.5661016949152542,0.19509345794392524,0.2901824500434405
precision,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",100,1,0.3,1.2,0.7947875088048838,0.6631578947368421,0.06961325966850829,0.126
recall,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",250,2,0.3,0.5,0.767785865226579,0.44482758620689655,0.4333706606942889,0.43902439024390244
f1,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",250,2,0.3,0.5,0.767785865226579,0.44482758620689655,0.4333706606942889,0.43902439024390244
