,n_epochs,n_layers,dropout_rate,Gauss_noise,accuracy,precision,recall,f1
max accuracy,250,2,0.1,0.8,0.8005632662583252,0.5295900585957285,0.36587128665564866,0.4319421045238101
max precision,100,3,0.1,1.2,0.7990769360735936,0.5392802693756744,0.26689590604213503,0.353518994915943
max recall,500,4,0.3,0.8,0.7342663376201505,0.4076679910721496,0.5859272331748516,0.478408486959371
max f1,500,4,0.3,0.8,0.7342663376201505,0.4076679910721496,0.5859272331748516,0.478408486959371
