,dropout_rate,Gauss_noise,n_nodes,batch_size,activations,n_epochs,n_layers,accuracy,precision,recall,f1
accuracy,0.2,0.5,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",500,2,0.8013618220239492,0.5410122164048866,0.3471444568868981,0.42291950886766716
precision,0.2,0.5,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",500,2,0.8013618220239492,0.5410122164048866,0.3471444568868981,0.42291950886766716
recall,0.2,0.5,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",500,4,0.7764208548614373,0.45121951219512196,0.5186915887850467,0.48260869565217396
f1,0.2,0.5,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",1000,2,0.7851608358769664,0.487964989059081,0.49944008958566627,0.4936358605423353
