,dropout_rate,Gauss_noise,n_nodes,activations,n_epochs,n_layers,batch_size,accuracy,precision,recall,f1
accuracy,0.3,0.5,"[32, 16, 8, 4]","['relu', 'relu', 'relu', 'relu']",500,1,128,0.8041643493017651,0.5912763923037896,0.1869545899075659,0.2838691339114741
precision,0.3,0.5,"[32, 16, 8, 4]","['relu', 'relu', 'relu', 'relu']",500,1,128,0.8041643493017651,0.5912763923037896,0.1869545899075659,0.2838691339114741
recall,0.3,0.5,"[32, 16, 8, 4]","['relu', 'relu', 'relu', 'relu']",500,2,32,0.7753619712028788,0.46548756602765745,0.4374822862716589,0.440748483652919
f1,0.3,0.5,"[32, 16, 8, 4]","['relu', 'relu', 'relu', 'relu']",500,2,64,0.7889787209748552,0.49256814919825515,0.4024259537003881,0.44183519075177724
