,dropout_rate,Gauss_noise,n_nodes,batch_size,activations,n_epochs,n_layers,accuracy,precision,recall,f1
0,0.2,0.5,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",500,2,0.793596779,0.50963896,0.395729793,0.44116771
1,0.2,0.5,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",500,4,0.786317322,0.48950135,0.458222181,0.469393204
2,0.2,0.5,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",1000,2,0.786318406,0.482820906,0.440734346,0.458199371
3,0.2,0.5,"[32, 16, 8, 4]",64,"['relu', 'relu', 'relu', 'relu']",1000,4,0.781543265,0.472365444,0.430222988,0.448790624
